Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
khaite,MERGE,Khaite,<p>Discover the Khaite collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Khaite
rick-owens,MERGE,Rick Owens,<p>Discover the Rick Owens collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Rick Owens
jacob-cohen,MERGE,Jacob Cohen,<p>Discover the Jacob Cohen collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Jacob Cohen
represent,MERGE,Represent,<p>Discover the Represent collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Represent
comme-des-gar-ons,MERGE,Comme Des Garçons,<p>Discover the Comme Des Garçons collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Comme Des Garçons
the-row,MERGE,The Row,<p>Discover the The Row collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,The Row
bencivenga,MERGE,BENCIVENGA,<p>Discover the BENCIVENGA collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,BENCIVENGA
maison-kitsun,MERGE,Maison Kitsuné,<p>Discover the Maison Kitsuné collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Maison Kitsuné
ea7-emporio-armani,MERGE,EA7 Emporio Armani,<p>Discover the EA7 Emporio Armani collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,EA7 Emporio Armani
morgan-de-toi,MERGE,Morgan De Toi,<p>Discover the Morgan De Toi collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Morgan De Toi
emporio-armani,MERGE,Emporio Armani,<p>Discover the Emporio Armani collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Emporio Armani
7for,MERGE,7FOR,<p>Discover the 7FOR collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,7FOR
dr-martens,MERGE,Dr. Martens,<p>Discover the Dr. Martens collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Dr. Martens
barbour,MERGE,Barbour,<p>Discover the Barbour collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Barbour
ralph-lauren,MERGE,Ralph Lauren,<p>Discover the Ralph Lauren collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Ralph Lauren
gc,MERGE,GC,<p>Discover the GC collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,GC
david-beckham,MERGE,David Beckham,<p>Discover the David Beckham collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,David Beckham
max-co,MERGE,Max & Co,<p>Discover the Max & Co collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Max & Co
rhude,MERGE,Rhude,<p>Discover the Rhude collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Rhude
lyle-scott,MERGE,Lyle & Scott,<p>Discover the Lyle & Scott collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Lyle & Scott
ice,MERGE,ICE,<p>Discover the ICE collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,ICE
ellesse,MERGE,Ellesse,<p>Discover the Ellesse collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Ellesse
mm6,MERGE,MM6,<p>Discover the MM6 collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,MM6
piquadro,MERGE,Piquadro,<p>Discover the Piquadro collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Piquadro
nialaya,MERGE,Nialaya,<p>Discover the Nialaya collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Nialaya
zeiss,MERGE,ZEISS,<p>Discover the ZEISS collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,ZEISS
lanvin,MERGE,Lanvin,<p>Discover the Lanvin collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Lanvin
the-north-face,MERGE,The North Face,<p>Discover the The North Face collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,The North Face
mcm,MERGE,MCM,<p>Discover the MCM collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,MCM
isabel-marant,MERGE,Isabel Marant,<p>Discover the Isabel Marant collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Isabel Marant
carolina-herrera,MERGE,Carolina Herrera,<p>Discover the Carolina Herrera collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Carolina Herrera
pink-memories,MERGE,PINK MEMORIES,<p>Discover the PINK MEMORIES collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,PINK MEMORIES
veja,MERGE,Veja,<p>Discover the Veja collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Veja
eleventy,MERGE,Eleventy,<p>Discover the Eleventy collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Eleventy
vuarnet,MERGE,Vuarnet,<p>Discover the Vuarnet collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Vuarnet
marine-serre,MERGE,Marine Serre,<p>Discover the Marine Serre collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Marine Serre
