Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
khaite,MERGE,Khaite,<p>Discover the Khaite collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Khaite
rick-owens,MERGE,Rick Owens,<p>Discover the Rick Owens collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Rick Owens
jacob-cohen,MERGE,Jacob Cohen,<p>Discover the Jacob Cohen collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Jacob Cohen
represent,MERGE,Represent,<p>Discover the Represent collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Represent
comme-des-gar-ons,MERGE,Comme Des Garçons,<p>Discover the Comme Des Garçons collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Comme Des Garçons
the-row,MERGE,The Row,<p>Discover the The Row collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,The Row
bencivenga,MERGE,BENCIVENGA,<p>Discover the BENCIVENGA collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,BENCIVENGA
maison-kitsun,MERGE,Maison Kitsuné,<p>Discover the Maison Kitsuné collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Maison Kitsuné
ea7-emporio-armani,MERGE,EA7 Emporio Armani,<p>Discover the EA7 Emporio Armani collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,EA7 Emporio Armani
morgan-de-toi,MERGE,Morgan De Toi,<p>Discover the Morgan De Toi collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Morgan De Toi
emporio-armani,MERGE,Emporio Armani,<p>Discover the Emporio Armani collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Emporio Armani
7for,MERGE,7FOR,<p>Discover the 7FOR collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,7FOR
